Company,Industry,Size,Location,Decision Maker,Title,Email,Phone,Website,Score,Source,Spend Signals,Outreach Status,Date Contacted
Camber Health,Healthcare / FinTech,51-100,New York NY,[Research LinkedIn],CFO/VP Finance,[Hunter.io camber.health],,https://www.camber.health,95,TopStartups.io / YC,Recent Series B funding = budget for scaling; Healthcare payments = complex vendor spend; YC-backed = vendor sprawl,Not Contacted,2025-02-19
Ambience Healthcare,Healthcare / AI,101-200,San Francisco CA,[Research LinkedIn],CFO/VP Finance,[Hunter.io ambiencehealthcare.com],,https://www.ambiencehealthcare.com,92,TopStartups.io / YC,Series C = aggressive scaling; AI = high compute costs; 101-200 employees = complex spend,Not Contacted,2025-02-19
Kalshi,FinTech / Exchanges,101-200,New York NY,[Research LinkedIn],CFO/VP Finance,[Hunter.io kalshi.com],,https://kalshi.com,90,TopStartups.io / YC / Crunchbase,Financial exchange = heavy compliance/vendor; Unicorn = scaling; 101-200 = procurement complexity,Not Contacted,2025-02-19
Rad AI,Healthcare / AI,101-200,Remote US,[Research LinkedIn],CFO/VP Finance,[Hunter.io radai.com],,https://www.radai.com,88,TopStartups.io,Healthcare AI = high compute/cloud; Remote = distributed spend; Radiology = specialized vendors,Not Contacted,2025-02-19
Qventus,Healthcare / Predictive Analytics,101-200,San Francisco CA,[Research LinkedIn],CFO/VP Finance,[Hunter.io qventus.com],,http://www.qventus.com,85,TopStartups.io / YC,Hospital cost optimization software = aligned value prop; Series D = mature spend; YC = tech stack,Not Contacted,2025-02-19
Formation Bio,Healthcare / Drug Development,101-200,New York NY,[Research LinkedIn],CFO/VP Finance,[Hunter.io formation.bio],,https://www.formation.bio,82,TopStartups.io,Drug development = massive vendor ecosystem; Series D = procurement volume; AI trials = tech complexity,Not Contacted,2025-02-19
Freenome,Healthcare / Biotech,201-500,San Francisco CA,[Research LinkedIn],CFO,[Hunter.io freenome.com],,http://www.freenome.com,73,TopStartups.io,Large base = significant vendor; Cancer screening = lab vendors; Late stage = mature procurement,Not Contacted,2025-02-19
Memora Health,Healthcare / AI,101-200,San Francisco CA,[Research LinkedIn],CFO/VP Finance,[Hunter.io memorahealth.com],,https://www.memorahealth.com,72,TopStartups.io,Care journey automation = healthcare vendors; 2yr old funding = burn optimization; AI = tech costs,Not Contacted,2025-02-19
Sprinter Health,Healthcare / Medical Services,11-50,San Francisco CA,[Research LinkedIn],CEO/CFO,[Hunter.io sprinterhealth.com],,http://www.sprinterhealth.com,71,TopStartups.io,Mobile nursing = logistics/vendor; Series B = scaling; Healthcare = equipment/supply costs,Not Contacted,2025-02-19
NewLimit,Biotech / Healthcare,11-50,San Francisco CA,[Research LinkedIn],CEO/CFO,[Hunter.io newlimit.com],,https://www.newlimit.com,69,TopStartups.io,Epigenetic therapies = lab equipment; Early stage = lean but growing; Biotech = research vendors,Not Contacted,2025-02-19
Vivodyne,Biotech / Healthcare / AI,11-50,San Francisco CA,[Research LinkedIn],CEO/CFO,[Hunter.io vivodyne.com],,https://www.vivodyne.com,68,TopStartups.io,Drug discovery = robotics/AI vendors; Series A = early scaling; Lab ops = equipment vendors,Not Contacted,2025-02-19
MarqVision,E-Commerce / Legal Tech / AI,51-100,Los Angeles CA,[Research LinkedIn],CFO/VP Finance,[Hunter.io marqvision.com],,http://www.marqvision.com,67,TopStartups.io / YC,AI counterfeit detection = tech costs; YC = growth; Legal tech = compliance vendors,Not Contacted,2025-02-19
Pogo,FinTech / Consumer,11-50,Brooklyn NY,[Research LinkedIn],CEO/CFO,[Hunter.io joinpogo.com],,https://www.joinpogo.com,65,TopStartups.io,Data rewards app = infrastructure; Recent Series A = scaling; 2M+ users = platform costs,Not Contacted,2025-02-19
Pomelo,FinTech,11-50,San Francisco CA,[Research LinkedIn],CEO/CFO,[Hunter.io pomelo.com],,https://www.pomelo.com,63,TopStartups.io,Credit + transfers = financial vendors; Cross-border = compliance; Fintech = tech stack,Not Contacted,2025-02-19
Moov,FinTech / Developer Tools,51-100,Remote,[Research LinkedIn],CFO/VP Finance,[Hunter.io moov.io],,http://moov.io,61,TopStartups.io,Open source fintech = infrastructure; Remote = distributed spend; Developer tools = cloud vendors,Not Contacted,2025-02-19
Blossom Health,Healthcare / AI,1-10,New York NY,[Research LinkedIn],CEO,[Hunter.io joinblossomhealth.com],,https://joinblossomhealth.com,48,TopStartups.io,Psychiatry AI = tech costs; Very early = lean; Mental health = regulated vendors,Not Contacted,2025-02-19
OpenSea,E-Commerce / Crypto / NFT,201-500,New York NY,[Research LinkedIn],CFO,[Hunter.io opensea.io],,http://opensea.io,45,TopStartups.io,NFT marketplace = infrastructure; Large team = complex; Crypto winter = cost focus,Not Contacted,2025-02-19
Kitchenful,E-Commerce / Delivery,11-50,Berlin Germany,[Research LinkedIn],CEO/CFO,[Hunter.io kitchenful.com],,http://www.kitchenful.com,42,TopStartups.io / YC,Recipe/grocery = logistics vendors; Older funding = constraints; International = complex,Not Contacted,2025-02-19
