Company,Industry,Size,Location,Decision Maker,Title,Email,Phone,Website,Score,Source,Pain Signals
M&W Logistics Group,Transportation/Logistics,50-200,Nashville TN (expanding to Dallas),[Needs Research],CEO/Owner,,,https://mwlginc.com/,90,Web Research + Brave Search,Rapid expansion; 50+ years; family-owned; new Dallas facility
Beacon Transport,Transportation/Trucking,50-200,Nashville TN,Stan Pritchett & David Burns,Co-Founders,,,https://www.beacontransport.net/,85,Web Research + Brave Search,Founded 2000; EPA SmartWay partner; driver retention programs
Proper House Group,Hospitality/Restaurants,50-200,Tampa FL,Ferrell Alvarez/Ty Rodriguez/Chon Nguyen/Myles Gallagher,Co-Owners/Director of Ops,,,https://www.properhousegroup.com/,82,Tavily + Web Fetch,Michelin Bib Gourmand; multiple new openings; 4 co-owners
The Feinstein Group,Hospitality/Restaurants,50-200,Tampa Bay Area FL,Zachary & Christina Feinstein,Co-Founders,,,http://www.tfg.ventures/,80,Tavily + Web Fetch,Founded 2014; multiple brands; ex-BK management experience
Metroplex Medical Centres,Healthcare/Primary Care,50-200,Dallas/Fort Worth TX,[Needs Research],Practice Administrator/CEO,,,https://metroplexmedicalcentres.com/,78,Web Research + Brave Search,8+ locations; ACO partnership; chronic condition focus
Sadler Brothers Trucking,Transportation/Trucking,50-200,Nashville TN,[Family Owned],Owner/CEO,,,https://www.sadlerbrothers.com/,72,Web Research + Brave Search,Founded 1928; 4th generation family; US Postal contracts
Three Oaks Hospitality,Hospitality/Restaurants,20-100,Tampa FL,[Needs Research],Founder/CEO,,,https://www.threeoakstampa.com/,70,Tavily + Web Fetch,Multiple concepts; neighborhood-focused growth
Westshore Entertainment Group,Hospitality Management,20-100,Tampa FL,[Needs Research],CEO/Founder,,,https://westshoreeg.com/,68,Tavily + Web Fetch,Property developers; hotels; resorts; diverse client base
Dallas Medical Center,Healthcare/Hospital,200-500,Farmers Branch TX,[Needs Research],CEO/Administrator,,,https://dallasmedcenter.com/,65,Web Research + Brave Search,Community hospital; ER services; geriatric accreditation
North Texas Preferred Health Partners,Healthcare/Concierge Medicine,20-50,Dallas TX,[Needs Research],Medical Director,,,https://www.ntphp.com/,64,Web Research + Brave Search,Concierge model; low patient ratios; membership fees
Crane Worldwide Logistics,Logistics/3PL,100-500,Nashville TN,[Global Company],Local GM/Operations Director,,,https://www.craneww.com/locations/usa/nashville/,62,Web Research + Brave Search,100k sq ft warehouse; 14 dock doors; drayage services
Private Health Dallas,Healthcare/Concierge Medicine,20-50,Dallas TX,Dr. Reuben Elovitz,Founder/Physician,,,https://privatehealthdallas.com/,60,Web Research + Brave Search,Concierge model; comprehensive services; membership-based
Dallas Family Medicine,Healthcare/Family Medicine,20-50,Dallas TX,[Needs Research],Practice Owner,,,https://www.dallasfamilymedicine.com/,58,Web Research + Brave Search,40+ years; 10 exam rooms; in-house lab and x-ray
Averitt,Transportation/Logistics,1000+,Nashville TN,[Large Corporate],CFO/Finance Team,,,https://www.averitt.com/,45,Web Research + Brave Search,55 years; national company; established C-suite
Oxford Commons,Hospitality,200+,Tampa FL,[Large Portfolio],Corporate Management,,,https://oxcommons.com/,42,Tavily Search,Multiple high-end properties; established structure
Sep-Pro Systems,Manufacturing,11-50,Houston TX,[Needs Research],Owner/President,,,[From Indeed],40,Indeed/Brave Search,Oil/gas process equipment; limited growth signals
